nu,CH4/x=1e-6/T=300K/P=1atm/L=100cm
6302.14,2.24508572381e-10
6302.15,2.29060516972e-10
6302.16,2.41006971078e-10
6302.17,2.60740841396e-10
6302.18,2.8793962007e-10
6302.19,3.20729677143e-10
6302.2,3.54702732811e-10
6302.21,3.82902418519e-10
6302.22,3.98070392139e-10
6302.23,3.96365101916e-10
6302.24,3.79268439666e-10
6302.25,3.51888446404e-10
6302.26,3.19912421131e-10
6302.27,2.87973057474e-10
6302.28,2.59394987521e-10
6302.29,2.36195949801e-10
6302.3,2.19128665051e-10
6302.31,2.07877818105e-10
6302.32,2.01263544801e-10
6302.33,1.97416281604e-10
6302.34,1.94195892787e-10
6302.35,1.90005014338e-10
6302.36,1.84512060533e-10
6302.37,1.78551267567e-10
6302.38,1.73272398282e-10
6302.39,1.69332868187e-10
6302.4,1.66568572118e-10
6302.41,1.64094741332e-10
6302.42,1.60826783834e-10
6302.43,1.56250102573e-10
6302.44,1.50802372982e-10
6302.45,1.45501912164e-10
6302.46,1.4130305096e-10
6302.47,1.3877319315e-10
6302.48,1.38146812882e-10
6302.49,1.39499194049e-10
6302.5,1.42819115041e-10
6302.51,1.47927558718e-10
6302.52,1.54354900616e-10
6302.53,1.61322831961e-10
6302.54,1.678790936e-10
6302.55,1.73146004665e-10
6302.56,1.76554673054e-10
6302.57,1.77902424758e-10
6302.58,1.7732188617e-10
6302.59,1.75340918076e-10
6302.6,1.72852037417e-10
6302.61,1.70830061287e-10
6302.62,1.70059270296e-10
6302.63,1.7106735759e-10
6302.64,1.74146245228e-10
6302.65,1.79380276804e-10
6302.66,1.86764451732e-10
6302.67,1.96451552712e-10
6302.68,2.08987673072e-10
6302.69,2.25272729265e-10
6302.7,2.46126983273e-10
6302.71,2.71712276309e-10
6302.72,3.01302619517e-10
6302.73,3.33800195038e-10
6302.74,3.68682633022e-10
6302.75,4.06052309275e-10
6302.76,4.44783105392e-10
6302.77,4.79905311183e-10
6302.78,5.02333592746e-10
6302.79,5.03289376092e-10
6302.8,4.80839411095e-10
6302.81,4.41749546938e-10
6302.82,3.96414277092e-10
6302.83,3.52575167191e-10
6302.84,3.13243875125e-10
6302.85,2.78478327272e-10
6302.86,2.47850034943e-10
6302.87,2.21507632589e-10
6302.88,1.9986372277e-10
6302.89,1.82982664434e-10
6302.9,1.70349450096e-10
6302.91,1.60993421283e-10
6302.92,1.53757737644e-10
6302.93,1.47648177826e-10
6302.94,1.42198126492e-10
6302.95,1.37595687306e-10
6302.96,1.34398038175e-10
6302.97,1.3306419187e-10
6302.98,1.33649792789e-10
6302.99,1.35772870941e-10
6303.0,1.38827951525e-10
6303.01,1.42351525593e-10
6303.02,1.4625945345e-10
6303.03,1.5075335489e-10
6303.04,1.56118957039e-10
6303.05,1.62704894005e-10
6303.06,1.70963845906e-10
6303.07,1.81340879281e-10
6303.08,1.94105730627e-10
6303.09,2.09334800272e-10
6303.1,2.27012253065e-10
6303.11,2.46999697666e-10
6303.12,2.68710582391e-10
6303.13,2.90655216438e-10
6303.14,3.10338858309e-10
6303.15,3.25036203342e-10
6303.16,3.3330113856e-10
6303.17,3.35931533416e-10
6303.18,3.35178954427e-10
6303.19,3.32800100677e-10
6303.2,3.28865759019e-10
6303.21,3.2254200053e-10
6303.22,3.14061675705e-10
6303.23,3.05716085038e-10
6303.24,3.00877024081e-10
6303.25,3.02382245326e-10
6303.26,3.11762818587e-10
6303.27,3.29287619902e-10
6303.28,3.54090726443e-10
6303.29,3.8398421947e-10
6303.3,4.15176763125e-10
6303.31,4.42619640611e-10
6303.32,4.61411837702e-10
6303.33,4.68430682138e-10
6303.34,4.62946980342e-10
6303.35,4.4638969608e-10
6303.36,4.21868557366e-10
6303.37,3.93158849179e-10
6303.38,3.63596839478e-10
6303.39,3.35875992598e-10
6303.4,3.121949148e-10
6303.41,2.9387522051e-10
6303.42,2.80932880409e-10
6303.43,2.72385454274e-10
6303.44,2.67123283998e-10
6303.45,2.6448453076e-10
6303.46,2.64070084809e-10
6303.47,2.65292759549e-10
6303.48,2.67444875786e-10
6303.49,2.70384098059e-10
6303.5,2.75063177375e-10
6303.51,2.83225495982e-10
6303.52,2.96516140072e-10
6303.53,3.15479355923e-10
6303.54,3.38493927671e-10
6303.55,3.61052213275e-10
6303.56,3.76757436616e-10
6303.57,3.80819194934e-10
6303.58,3.73654645715e-10
6303.59,3.60703004718e-10
6303.6,3.48483583692e-10
6303.61,3.4080507572e-10
6303.62,3.3771327585e-10
6303.63,3.3691890739e-10
6303.64,3.36233285503e-10
6303.65,3.35095076389e-10
6303.66,3.3411047874e-10
6303.67,3.3365254617e-10
6303.68,3.33111911465e-10
6303.69,3.31127617969e-10
6303.7,3.26499263975e-10
6303.71,3.19356083341e-10
6303.72,3.11720992208e-10
6303.73,3.06907650705e-10
6303.74,3.08239171541e-10
6303.75,3.17911831746e-10
6303.76,3.36185331726e-10
6303.77,3.60614385168e-10
6303.78,3.85551234553e-10
6303.79,4.03174731893e-10
6303.8,4.06944512154e-10
6303.81,3.95365328936e-10
6303.82,3.72172997422e-10
6303.83,3.42923268971e-10
6303.84,3.12022474697e-10
6303.85,2.82302709115e-10
6303.86,2.55776985978e-10
6303.87,2.34021356015e-10
6303.88,2.18057200447e-10
6303.89,2.08228056816e-10
6303.9,2.04252119633e-10
6303.91,2.05282138832e-10
6303.92,2.09862382812e-10
6303.93,2.15927970564e-10
6303.94,2.21148303868e-10
6303.95,2.2378383719e-10
6303.96,2.23615261522e-10
6303.97,2.21937555438e-10
6303.98,2.20389411943e-10
6303.99,2.19832625461e-10
6304.0,2.20355175811e-10
6304.01,2.22031421756e-10
6304.02,2.25332861539e-10
6304.03,2.30698111854e-10
6304.04,2.37892723315e-10
6304.05,2.46076702538e-10
6304.06,2.54515003255e-10
6304.07,2.6290554424e-10
6304.08,2.70818769788e-10
6304.09,2.77042768254e-10
6304.1,2.79938477085e-10
6304.11,2.78823363357e-10
6304.12,2.74933072957e-10
6304.13,2.70694422968e-10
6304.14,2.68080490852e-10
6304.15,2.6777951148e-10
6304.16,2.69700942128e-10
6304.17,2.73785976695e-10
6304.18,2.79841381637e-10
6304.19,2.86554750994e-10
6304.2,2.91285344682e-10
6304.21,2.91516758127e-10
6304.22,2.86558642739e-10
6304.23,2.77469724244e-10
6304.24,2.65618103199e-10
6304.25,2.51949534911e-10
6304.26,2.37392357069e-10
6304.27,2.23155536093e-10
6304.28,2.10329762126e-10
6304.29,1.9936364954e-10
6304.3,1.90022255343e-10
6304.31,1.81821987206e-10
6304.32,1.74511791312e-10
6304.33,1.68223562487e-10
6304.34,1.63291932546e-10
6304.35,1.60005460287e-10
6304.36,1.58484518521e-10
6304.37,1.58691472011e-10
6304.38,1.60491710015e-10
6304.39,1.637355188e-10
6304.4,1.68351947195e-10
6304.41,1.74363552306e-10
6304.42,1.81756723022e-10
6304.43,1.9028025468e-10
6304.44,1.9926569178e-10
6304.45,2.07541185329e-10
6304.46,2.13583485323e-10
6304.47,2.15995938699e-10
6304.48,2.14112439213e-10
6304.49,2.08339920118e-10
6304.5,2.00021578337e-10
6304.51,1.90946247318e-10
6304.52,1.82798899434e-10
6304.53,1.76772673009e-10
6304.54,1.73407591366e-10
6304.55,1.72598501093e-10
6304.56,1.73679783718e-10
6304.57,1.7556530908e-10
6304.58,1.76987253589e-10
6304.59,1.7681657784e-10
6304.6,1.7434646142e-10
6304.61,1.69429069528e-10
6304.62,1.6245862649e-10
6304.63,1.54250086281e-10
6304.64,1.45806064278e-10
6304.65,1.37982850595e-10
6304.66,1.31250298243e-10
6304.67,1.25745906836e-10
6304.68,1.21528340673e-10
6304.69,1.18721750145e-10
6304.7,1.17401446907e-10
6304.71,1.17390949894e-10
6304.72,1.18198149733e-10
6304.73,1.19133733437e-10
6304.74,1.19517198583e-10
6304.75,1.18852062549e-10
6304.76,1.16894983602e-10
6304.77,1.13623628534e-10
6304.78,1.09173834504e-10
6304.79,1.03823405087e-10
6304.8,9.80045229666e-11
6304.81,9.22506761711e-11
6304.82,8.70797304079e-11
6304.83,8.29023181697e-11
6304.84,7.99926432027e-11
6304.85,7.85015905677e-11
6304.86,7.84844856698e-11
6304.87,7.99223472405e-11
6304.88,8.272474051e-11
6304.89,8.67140553982e-11
6304.9,9.16123877869e-11
6304.91,9.70366103598e-11
6304.92,1.02442735942e-10
6304.93,1.07044938733e-10
6304.94,1.09971669091e-10
6304.95,1.10787549323e-10
6304.96,1.09927062599e-10
6304.97,1.08505968039e-10
6304.98,1.07686853398e-10
6304.99,1.08158686814e-10
6305.0,1.09958644071e-10
6305.01,1.1256480129e-10
6305.02,1.15153918543e-10
6305.03,1.16893093654e-10
6305.04,1.17143465726e-10
6305.05,1.15588350743e-10
6305.06,1.12356572205e-10
6305.07,1.0805221516e-10
6305.08,1.03525102247e-10
6305.09,9.94856590901e-11
6305.1,9.62710571503e-11
6305.11,9.38666896269e-11
6305.12,9.20605380577e-11
6305.13,9.06073681624e-11
6305.14,8.93223742892e-11
6305.15,8.8090012369e-11
6305.16,8.68783029225e-11
6305.17,8.58036486541e-11
6305.18,8.51476468682e-11
6305.19,8.5230927315e-11
6305.2,8.61813292532e-11
6305.21,8.77317220179e-11
6305.22,8.92175014178e-11
6305.23,8.98898571634e-11
6305.24,8.94025873468e-11
6305.25,8.80584395673e-11
6305.26,8.65818419949e-11
6305.27,8.56532786301e-11
6305.28,8.55705446212e-11
6305.29,8.61799403912e-11
6305.3,8.70594589971e-11
6305.31,8.78733687522e-11
6305.32,8.86355343431e-11
6305.33,8.96013683185e-11
6305.34,9.0946907508e-11
6305.35,9.26476697141e-11
6305.36,9.45575465032e-11
6305.37,9.633475844e-11
6305.38,9.72506151227e-11
6305.39,9.63804522785e-11
6305.4,9.32676331924e-11
6305.41,8.83933189109e-11
6305.42,8.29287496367e-11
6305.43,7.80908746823e-11
6305.44,7.47084040369e-11
6305.45,7.31770249486e-11
6305.46,7.36074456138e-11
6305.47,7.59561697645e-11
6305.48,8.00580752436e-11
6305.49,8.55690647264e-11
6305.5,9.18793613705e-11
6305.51,9.81028171007e-11
6305.52,1.03221682444e-10
6305.53,1.06333500205e-10
6305.54,1.06875923272e-10
6305.55,1.04788977696e-10
6305.56,1.00583452877e-10
6305.57,9.52110459789e-11
6305.58,8.97440331433e-11
6305.59,8.50445393164e-11
6305.6,8.15832270052e-11
6305.61,7.94416315589e-11
6305.62,7.8445994235e-11
6305.63,7.83426553888e-11
6305.64,7.89184539165e-11
6305.65,8.00123369056e-11
6305.66,8.14627319323e-11
6305.67,8.31015625545e-11
6305.68,8.48261664331e-11
6305.69,8.66400376371e-11
6305.7,8.85579452629e-11
6305.71,9.04211716963e-11
6305.72,9.17934504125e-11
6305.73,9.20890812455e-11
6305.74,9.08963487351e-11
6305.75,8.82444800139e-11
6305.76,8.45903618363e-11
6305.77,8.05762990639e-11
6305.78,7.67878431685e-11
6305.79,7.36503790097e-11
6305.8,7.14417855469e-11
6305.81,7.03470450031e-11
6305.82,7.0510610207e-11
6305.83,7.20714995099e-11
6305.84,7.51758829559e-11
6305.85,7.99634347858e-11
6305.86,8.65184271625e-11
6305.87,9.47699757264e-11
6305.88,1.04338999824e-10
6305.89,1.14386648533e-10
6305.9,1.23608147267e-10
6305.91,1.30525148413e-10
6305.92,1.34015687998e-10
6305.93,1.33727401386e-10
6305.94,1.30082727008e-10
6305.95,1.23995561662e-10
6305.96,1.16585475089e-10
6305.97,1.08972180912e-10
6305.98,1.02110688734e-10
6305.99,9.66720033087e-11
6306.0,9.2965401922e-11
6306.01,9.08787583477e-11
6306.02,8.99023489088e-11
6306.03,8.93781998827e-11
6306.04,8.89508210618e-11
6306.05,8.88589280267e-11
6306.06,8.97374251544e-11
6306.07,9.20956854522e-11
6306.08,9.58951373159e-11
6306.09,1.00447662028e-10
6306.1,1.04631425537e-10
6306.11,1.07289168538e-10
6306.12,1.07608955405e-10
6306.13,1.05346185025e-10
6306.14,1.00832138759e-10
6306.15,9.48166225229e-11
6306.16,8.82497522431e-11
6306.17,8.20592265114e-11
6306.18,7.69750447449e-11
6306.19,7.34477073105e-11
6306.2,7.16350355406e-11
6306.21,7.13928411949e-11
6306.22,7.22431731387e-11
6306.23,7.34047513878e-11
6306.24,7.40451771751e-11
6306.25,7.37207564488e-11
6306.26,7.26130028906e-11
6306.27,7.1269483926e-11
6306.28,7.0117793518e-11
6306.29,6.92154468657e-11
6306.3,6.83643038984e-11
6306.31,6.73801458965e-11
6306.32,6.62441069806e-11
6306.33,6.50657146934e-11
6306.34,6.39738371187e-11
6306.35,6.30257890737e-11
6306.36,6.21799420849e-11
6306.37,6.13770332555e-11
6306.38,6.06757268406e-11
6306.39,6.02829584826e-11
6306.4,6.04326503702e-11
6306.41,6.12639522584e-11
6306.42,6.28257726311e-11
6306.43,6.5159014128e-11
6306.44,6.83553199928e-11
6306.45,7.25756105722e-11
6306.46,7.80425339242e-11
6306.47,8.49750687651e-11
6306.48,9.34662437568e-11
6306.49,1.0340301345e-10
6306.5,1.14506814253e-10
6306.51,1.26429649961e-10
6306.52,1.38698621024e-10
6306.53,1.50290415217e-10
6306.54,1.591055068e-10
6306.55,1.62348903052e-10
6306.56,1.58260148936e-10
6306.57,1.47661245747e-10
6306.58,1.33477622252e-10
6306.59,1.18827304419e-10
6306.6,1.05696499645e-10
6306.61,9.48898518688e-11
6306.62,8.65466626453e-11
6306.63,8.05568228135e-11
6306.64,7.67374000451e-11
6306.65,7.48498037654e-11
6306.66,7.45424265372e-11
6306.67,7.53018057511e-11
6306.68,7.65028352483e-11
6306.69,7.76085926167e-11
6306.7,7.84280461262e-11
6306.71,7.92048570816e-11
6306.72,8.04478174345e-11
6306.73,8.27057497019e-11
6306.74,8.64770709898e-11
6306.75,9.21808373049e-11
6306.76,1.00005694584e-10
6306.77,1.0958102285e-10
6306.78,1.19664312282e-10
6306.79,1.28283146969e-10
6306.8,1.33645014485e-10
6306.81,1.3530512927e-10
6306.82,1.34446181683e-10
6306.83,1.32908560975e-10
6306.84,1.31865507003e-10
6306.85,1.31136123817e-10
6306.86,1.29444566484e-10
6306.87,1.25415911279e-10
6306.88,1.18672577279e-10
6306.89,1.10129757799e-10
6306.9,1.01269109399e-10
6306.91,9.32272676847e-11
6306.92,8.64615394549e-11
6306.93,8.09340095734e-11
6306.94,7.64159853079e-11
6306.95,7.26861347192e-11
6306.96,6.95927202722e-11
6306.97,6.70359873874e-11
6306.98,6.49519252139e-11
6306.99,6.33413623821e-11
6307.0,6.22967926564e-11
6307.01,6.19468233795e-11
6307.02,6.23167067962e-11
6307.03,6.31898100948e-11
6307.04,6.40900842491e-11
6307.05,6.44743295353e-11
6307.06,6.40399227396e-11
6307.07,6.28658818797e-11
6307.08,6.12791567809e-11
6307.09,5.96649435407e-11
6307.1,5.83892097686e-11
6307.11,5.77773675317e-11
6307.12,5.80991763654e-11
6307.13,5.95837897692e-11
6307.14,6.24558436152e-11
6307.15,6.69486271045e-11
6307.16,7.32601432258e-11
6307.17,8.14259120425e-11
6307.18,9.108399984e-11
6307.19,1.0117428285e-10
6307.2,1.09834628344e-10
6307.21,1.14946430917e-10
6307.22,1.15326857719e-10
6307.23,1.11547762822e-10
6307.24,1.05422126212e-10
6307.25,9.8727049643e-11
6307.26,9.24302961199e-11
6307.27,8.67619690424e-11
6307.28,8.16325881022e-11
6307.29,7.69506201079e-11
6307.3,7.27438041491e-11
6307.31,6.91553059788e-11
6307.32,6.63838364522e-11
6307.33,6.46090081408e-11
6307.34,6.39365657217e-11
6307.35,6.43868601128e-11
6307.36,6.59177598469e-11
6307.37,6.84466741857e-11
6307.38,7.1841281176e-11
6307.39,7.58742058894e-11
6307.4,8.0154932776e-11
6307.41,8.40770699587e-11
6307.42,8.68666546352e-11
6307.43,8.78112652718e-11
6307.44,8.66264490832e-11
6307.45,8.3721640234e-11
6307.46,8.00720189137e-11
6307.47,7.67281140636e-11
6307.48,7.43628655456e-11
6307.49,7.31317620858e-11
6307.5,7.27869799358e-11
6307.51,7.2909106005e-11
6307.52,7.31798557471e-11
6307.53,7.35888241909e-11
6307.54,7.44462679149e-11
6307.55,7.62016494138e-11
6307.56,7.92028609797e-11
6307.57,8.351192657e-11
6307.58,8.88210291532e-11
6307.59,9.4515929501e-11
6307.6,9.99355649998e-11
6307.61,1.04746641786e-10
6307.62,1.09150968713e-10
6307.63,1.13679846481e-10
6307.64,1.18720140871e-10
6307.65,1.24172614852e-10
6307.66,1.29510640643e-10
6307.67,1.34277367667e-10
6307.68,1.38686141751e-10
6307.69,1.4373747e-10
6307.7,1.50792167633e-10
6307.71,1.61142088585e-10
6307.72,1.7581373773e-10
6307.73,1.95280667644e-10
6307.74,2.1878646409e-10
6307.75,2.43492804334e-10
6307.76,2.64392636226e-10
6307.77,2.76110981327e-10
6307.78,2.76020554245e-10
6307.79,2.65852213426e-10
6307.8,2.50113891647e-10
6307.81,2.33105440102e-10
6307.82,2.17139643115e-10
6307.83,2.02699148426e-10
6307.84,1.89557901813e-10
6307.85,1.77557744414e-10
6307.86,1.66663278864e-10
6307.87,1.56813107884e-10
6307.88,1.47978654267e-10
6307.89,1.4036023519e-10
6307.9,1.34430290655e-10
6307.91,1.30673450695e-10
6307.92,1.29195873227e-10
6307.93,1.29508876679e-10
6307.94,1.3069233902e-10
6307.95,1.31873031327e-10
6307.96,1.3258897722e-10
6307.97,1.32703190808e-10
6307.98,1.32186439585e-10
6307.99,1.3125166175e-10
6308.0,1.30611962257e-10
6308.01,1.31307455786e-10
6308.02,1.34168896181e-10
6308.03,1.39453228081e-10
6308.04,1.46945636271e-10
6308.05,1.56395337174e-10
6308.06,1.67863365734e-10
6308.07,1.81566762514e-10
6308.08,1.97127315623e-10
6308.09,2.12553492176e-10
6308.1,2.23857542508e-10
6308.11,2.26481599336e-10
6308.12,2.1822168998e-10
6308.13,2.00943033849e-10
6308.14,1.79160339968e-10
6308.15,1.57207058733e-10
6308.16,1.37663697783e-10
6308.17,1.21444047051e-10
6308.18,1.08497056026e-10
6308.19,9.83948787295e-11
6308.2,9.06590718494e-11
6308.21,8.4882839932e-11
6308.22,8.07248328488e-11
6308.23,7.78554677663e-11
6308.24,7.59324706234e-11
6308.25,7.46323417027e-11
6308.26,7.36906567369e-11
6308.27,7.29056595176e-11
6308.28,7.21413225978e-11
6308.29,7.13717528013e-11
6308.3,7.0721909204e-11
6308.31,7.04369186767e-11
6308.32,7.07925888229e-11
6308.33,7.20217099492e-11
6308.34,7.42939344187e-11
6308.35,7.7708239168e-11
6308.36,8.22546862962e-11
6308.37,8.77990877267e-11
6308.38,9.4176920143e-11
6308.39,1.01328386859e-10
6308.4,1.0926308916e-10
6308.41,1.17792282022e-10
6308.42,1.26248812936e-10
6308.43,1.33469289318e-10
6308.44,1.3813182584e-10
6308.45,1.39283952229e-10
6308.46,1.36733599935e-10
6308.47,1.31106935917e-10
6308.48,1.23628899441e-10
6308.49,1.15737381887e-10
6308.5,1.08660819285e-10
6308.51,1.03169642536e-10
6308.52,9.9589649187e-11
6308.53,9.79437148259e-11
6308.54,9.80704172785e-11
6308.55,9.97047038278e-11
6308.56,1.02587417051e-10
6308.57,1.06610088177e-10
6308.58,1.11884457217e-10
6308.59,1.18632939456e-10
6308.6,1.26940057713e-10
6308.61,1.36486504024e-10
6308.62,1.46374798106e-10
6308.63,1.55138074335e-10
6308.64,1.60964753306e-10
6308.65,1.62182486839e-10
6308.66,1.58030370546e-10
6308.67,1.4927191135e-10
6308.68,1.37928118357e-10
6308.69,1.26249920386e-10
6308.7,1.15861966175e-10
6308.71,1.07600844423e-10
6308.72,1.01774508855e-10
6308.73,9.84000909293e-11
6308.74,9.72722543477e-11
6308.75,9.79390909232e-11
6308.76,9.9691113354e-11
6308.77,1.01644952905e-10
6308.78,1.02961297188e-10
6308.79,1.03133046071e-10
6308.8,1.02176831479e-10
6308.81,1.00552422924e-10
6308.82,9.87851504101e-11
6308.83,9.70657245256e-11
6308.84,9.52031069967e-11
6308.85,9.29434543451e-11
6308.86,9.02729192734e-11
6308.87,8.74155192431e-11
6308.88,8.46314759629e-11
6308.89,8.20850482398e-11
6308.9,7.98870473762e-11
6308.91,7.82210479134e-11
6308.92,7.74076515824e-11
6308.93,7.7840255946e-11
6308.94,7.98395708203e-11
6308.95,8.34904475644e-11
6308.96,8.84699892059e-11
6308.97,9.38975717532e-11
6308.98,9.83793351855e-11
6308.99,1.0047616059e-10
6309.0,9.94795340352e-11
6309.01,9.58614773623e-11
6309.02,9.0921812288e-11
6309.03,8.59889948372e-11
6309.04,8.18891070515e-11
6309.05,7.8932509102e-11
6309.06,7.71568507673e-11
6309.07,7.6495637894e-11
6309.08,7.67755304335e-11
6309.09,7.76583517073e-11
6309.1,7.86763262344e-11
6309.11,7.94058385615e-11
6309.12,7.96582513346e-11
6309.13,7.94970909585e-11
6309.14,7.90658801142e-11
6309.15,7.84286674736e-11
6309.16,7.75751805406e-11
6309.17,7.6521377315e-11
6309.18,7.53656394676e-11
6309.19,7.42809896719e-11
6309.2,7.3500457908e-11
6309.21,7.32919742778e-11
6309.22,7.38797513212e-11
6309.23,7.53226998851e-11
6309.24,7.74305870424e-11
6309.25,7.98300333308e-11
6309.26,8.22119969351e-11
6309.27,8.45802465688e-11
6309.28,8.72586808569e-11
6309.29,9.06795307712e-11
